RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Exited
637,684,Spain,Female,39,4,139723.9,1,1,1,120612.11,0,2,SILVER,254,0
638,759,Spain,Female,74,6,128917.84,1,1,1,48244.64,0,1,DIAMOND,793,0
639,704,Spain,Male,37,4,0,2,0,0,25684.93,0,5,SILVER,439,0
640,701,Spain,Male,59,7,0,2,0,1,27597.59,0,4,SILVER,387,0
641,735,Spain,Male,29,10,0,2,1,1,95025.27,0,2,DIAMOND,439,0
642,783,Spain,Female,59,9,126224.87,1,1,1,4423.63,0,2,DIAMOND,841,0
643,607,Spain,Female,25,4,121166.89,1,0,1,115288.24,0,1,DIAMOND,551,0
644,537,Spain,Female,38,1,0,2,0,1,41233.97,0,5,PLATINUM,818,0
645,513,Spain,Male,88,10,0,2,1,1,52952.24,0,1,PLATINUM,627,0
646,763,Spain,Female,32,10,95153.77,1,0,1,81310.1,0,2,GOLD,816,0
647,689,Spain,Female,31,3,139799.63,1,0,1,120663.57,0,5,GOLD,964,0
648,567,Spain,Male,40,4,118628.8,1,0,0,91973.63,0,1,PLATINUM,892,0
649,683,Spain,Female,36,7,0,2,1,0,104786.59,0,2,GOLD,381,0
650,645,Spain,Female,21,1,0,2,0,0,28726.07,0,5,GOLD,469,0
651,612,Spain,Female,26,4,0,2,1,1,179780.74,0,2,GOLD,516,0
652,782,Spain,Male,23,10,98052.66,1,1,1,142587.32,0,3,PLATINUM,565,0
653,619,Spain,Female,45,0,0,2,0,0,113645.4,0,4,SILVER,315,0
654,695,Spain,Male,44,8,0,2,1,1,70974.13,0,2,DIAMOND,544,0
655,612,Spain,Female,62,0,167026.61,2,1,1,192892.05,0,1,PLATINUM,739,0
656,782,Spain,Male,52,4,0,1,1,1,52759.82,1,4,GOLD,741,1
657,671,Spain,Female,29,6,0,2,0,0,12048.67,0,2,GOLD,328,0
658,723,Spain,Male,38,6,0,2,1,1,94415.6,0,2,PLATINUM,500,0
659,850,Spain,Female,24,1,0,2,0,1,69052.87,0,3,SILVER,888,0
660,682,Spain,Female,59,0,122661.39,1,0,1,84803.76,0,1,PLATINUM,686,0
661,599,Spain,Female,46,7,81742.84,2,1,0,83282.21,0,3,PLATINUM,381,0
662,727,Spain,Male,71,8,0,1,1,1,198446.91,1,4,GOLD,869,1
663,756,Spain,Male,30,2,145127.85,1,0,0,7554.68,0,2,SILVER,774,0
664,634,Spain,Female,41,4,0,2,1,1,164549.74,0,4,DIAMOND,311,0
665,650,Spain,Female,30,6,0,1,0,0,67997.13,1,4,GOLD,963,1
666,655,Spain,Male,34,1,116114.93,1,1,1,49492.15,0,5,GOLD,601,0
667,513,Spain,Female,31,5,174853.46,1,1,0,84238.63,0,5,SILVER,640,0
668,689,Spain,Male,40,2,0,2,1,1,164768.82,0,4,GOLD,490,0
669,645,Spain,Male,36,4,59893.85,2,1,0,43999.64,0,5,DIAMOND,420,0
670,848,Spain,Male,22,7,120811.89,1,1,1,185510.34,0,5,GOLD,295,0
671,592,Spain,Female,40,2,200322.45,1,1,1,113244.73,0,5,PLATINUM,482,0
672,587,Spain,Male,48,1,0,2,1,1,8908,0,5,DIAMOND,660,0
673,550,Spain,Male,62,7,80927.56,1,0,1,64490.67,0,5,GOLD,679,0
674,622,Spain,Female,41,9,0,2,1,1,155786.39,0,3,PLATINUM,292,0
675,635,Spain,Female,34,5,98683.47,2,1,0,15733.19,0,3,SILVER,558,0
676,550,Spain,Male,34,3,0,2,0,0,131281.28,0,5,SILVER,806,0
677,762,Spain,Male,35,9,122929.42,2,0,0,149822.04,0,3,SILVER,504,0
678,850,Spain,Male,49,8,0,1,0,0,25867.67,1,2,PLATINUM,240,1
679,605,Spain,Female,29,3,116805.82,1,0,0,4092.75,0,5,PLATINUM,851,0
680,768,Spain,Female,42,3,0,1,0,0,161242.99,1,1,SILVER,651,1
681,638,Spain,Male,48,2,0,2,1,1,7919.08,0,1,DIAMOND,674,0
682,661,Spain,Female,42,9,75361.44,1,1,0,27608.12,1,2,PLATINUM,828,1
683,702,Spain,Male,30,2,0,2,1,1,145537.32,0,3,GOLD,786,0
684,625,Spain,Female,31,8,0,2,1,0,151843.54,0,2,SILVER,617,0
685,637,Spain,Female,22,5,98800,1,1,0,122865.55,0,2,SILVER,430,0
686,425,Spain,Female,39,5,0,2,1,0,140941.47,0,1,DIAMOND,426,0
687,730,Spain,Male,26,3,0,1,1,0,34542.41,0,3,GOLD,805,0
688,779,Spain,Female,34,5,0,2,0,1,111676.63,0,1,SILVER,945,0
689,542,Spain,Male,32,2,131945.94,1,0,1,159737.56,0,3,SILVER,406,0
690,799,Spain,Male,35,7,0,2,0,1,140780.8,0,4,PLATINUM,695,0
691,520,Spain,Female,35,4,115680.81,1,1,1,90280.7,0,5,PLATINUM,275,0
692,850,Spain,Female,23,9,143054.85,1,0,1,62980.96,0,3,PLATINUM,930,0
693,574,Spain,Female,28,7,0,2,0,0,185660.3,0,1,PLATINUM,626,0
694,648,Spain,Male,42,2,98795.61,2,1,0,89123.99,0,5,GOLD,365,0
695,698,Spain,Female,40,0,92053.44,1,1,1,143681.83,0,4,DIAMOND,970,0
696,655,Spain,Female,34,4,109783.69,2,1,0,134034.32,0,1,PLATINUM,985,0
697,630,Spain,Female,21,1,85818.18,1,1,1,133102.3,0,2,DIAMOND,374,0
698,763,Spain,Male,67,9,148564.66,1,0,1,87236.4,0,1,PLATINUM,595,0
699,726,Spain,Female,56,8,123110.9,3,0,1,130113.78,1,4,DIAMOND,873,1
700,670,Spain,Male,30,3,133446.34,1,0,0,3154.95,0,5,GOLD,317,0
701,650,Spain,Male,41,3,128808.65,3,0,0,113677.53,1,2,DIAMOND,676,1
702,694,Spain,Male,38,7,121527.4,1,1,0,113481.02,0,4,PLATINUM,582,0
703,698,Spain,Female,31,8,185078.26,1,0,0,115337.74,1,5,GOLD,921,1
704,700,Spain,Male,31,7,0,2,0,1,145151.96,0,1,GOLD,676,0
705,850,Spain,Male,51,3,109799.55,2,1,1,12457.76,1,3,PLATINUM,974,1
706,604,Spain,Female,71,10,0,2,1,1,129984.2,0,1,GOLD,750,0
707,778,Spain,Male,40,8,104291.41,2,1,1,117507.11,0,5,GOLD,998,0
708,705,Spain,Male,44,0,184552.12,1,1,0,68860.3,1,3,DIAMOND,295,1
709,532,Spain,Female,66,3,0,1,1,1,115227.02,0,1,DIAMOND,955,0
710,498,Spain,Male,29,8,127864.26,1,1,1,46677.9,0,5,SILVER,404,0
711,592,Spain,Male,38,0,0,1,1,0,65986.48,1,1,GOLD,354,1
712,695,Spain,Female,34,9,0,2,1,1,67502.12,0,1,GOLD,774,0
713,538,Spain,Female,30,8,0,2,1,1,41192.95,0,3,GOLD,495,0
714,714,Spain,Female,33,10,103121.33,2,1,1,49672.01,0,4,PLATINUM,830,0
715,569,Spain,Female,34,3,0,1,1,0,133997.53,0,1,PLATINUM,824,0
716,527,Spain,Male,33,9,132168.28,1,0,0,98734.15,0,3,GOLD,399,0
717,575,Spain,Male,53,1,84903.33,2,0,1,26015.8,0,3,GOLD,899,0
718,683,Spain,Male,40,8,0,1,1,0,75848.22,0,4,PLATINUM,221,0
719,653,Spain,Male,35,6,116662.96,2,1,1,23864.21,0,2,DIAMOND,262,0
720,850,Spain,Female,36,2,155180.56,2,0,0,169415.54,0,2,DIAMOND,419,0
721,528,Spain,Male,40,4,0,2,1,0,25399.7,0,3,GOLD,345,0
722,513,Spain,Male,48,2,0,1,1,1,114709.13,1,3,SILVER,497,1
723,529,Spain,Male,38,7,99842.5,2,1,0,90256.06,1,4,DIAMOND,220,1
724,710,Spain,Female,75,5,0,2,1,1,9376.89,0,1,GOLD,857,0
725,534,Spain,Male,51,3,0,2,0,1,20856.31,0,5,GOLD,253,0
726,551,Spain,Male,32,4,0,2,1,0,53420.53,0,3,DIAMOND,921,0
727,559,Spain,Female,27,1,0,1,0,1,1050.33,0,5,DIAMOND,658,0
728,545,Spain,Male,36,8,73211.12,2,1,0,89587.34,1,3,PLATINUM,472,1
729,671,Spain,Male,38,0,92674.94,2,1,0,3647.57,0,4,SILVER,759,0
730,439,Spain,Male,52,3,96196.24,4,1,0,198874.52,1,1,GOLD,397,1
731,545,Spain,Female,33,7,173331.52,1,1,0,150452.88,0,4,DIAMOND,716,0
732,604,Spain,Female,35,7,147285.52,1,1,1,57807.05,0,5,PLATINUM,1000,0
733,657,Spain,Male,67,5,119785.47,2,1,1,107534.32,0,1,PLATINUM,876,0
734,487,Spain,Female,36,1,140137.15,1,1,0,194073.33,0,2,DIAMOND,677,0
735,660,Spain,Male,42,5,0,2,1,0,115509.59,0,5,SILVER,491,0
736,586,Spain,Male,34,5,168094.01,1,0,0,20058.61,0,3,GOLD,287,0
737,626,Spain,Female,26,8,148610.41,3,0,1,104502.02,1,5,PLATINUM,410,1
738,802,Spain,Male,41,6,0,2,1,0,47322.05,0,2,DIAMOND,340,0
739,538,Spain,Female,42,9,0,1,0,0,152855.96,0,4,SILVER,641,0
740,685,Spain,Male,34,6,83264.28,1,0,0,9663.28,0,5,GOLD,449,0
741,588,Spain,Male,46,8,0,1,1,0,61931.21,0,5,GOLD,950,0
742,687,Spain,Male,35,8,100988.39,2,1,0,22247.27,0,2,SILVER,594,0
743,718,Spain,Male,28,6,0,2,1,0,146875.86,0,4,DIAMOND,319,0
744,711,Spain,Female,28,5,0,2,1,1,93959.96,0,3,DIAMOND,979,0
745,555,Spain,Female,26,9,0,2,0,1,158918.03,0,3,SILVER,554,0
746,519,Spain,Male,39,4,111900.14,1,1,1,97577.17,0,2,PLATINUM,377,0
747,734,Spain,Female,37,0,152760.24,1,1,1,48990.5,0,4,DIAMOND,763,0
748,616,Spain,Male,31,7,76665.71,2,1,1,163809.08,0,3,GOLD,468,0
749,696,Spain,Female,36,7,0,2,1,1,82298.59,0,3,PLATINUM,291,0
750,681,Spain,Male,30,2,111093.01,1,1,0,68985.99,0,5,PLATINUM,691,0
751,641,Spain,Male,42,9,132657.55,1,1,0,35367.19,0,3,GOLD,351,0
752,505,Spain,Female,45,9,131355.3,3,1,0,195395.33,1,2,PLATINUM,661,1
753,850,Spain,Female,41,3,99945.93,2,1,0,71179.31,0,2,GOLD,252,0
754,526,Spain,Female,43,3,0,2,1,0,31705.19,0,5,PLATINUM,989,0
755,703,Spain,Female,45,1,0,1,1,0,182784.11,1,2,SILVER,919,1
756,745,Spain,Female,59,8,0,1,1,1,36124.98,0,2,DIAMOND,949,0
757,729,Spain,Female,45,7,91091.06,2,1,0,71133.12,0,1,PLATINUM,632,0
758,696,Spain,Female,43,4,0,2,1,1,66406.37,0,4,DIAMOND,678,0
759,526,Spain,Male,30,8,0,1,1,0,36251,0,3,DIAMOND,268,0
760,628,Spain,Male,43,3,184926.61,1,1,0,122937.57,0,4,GOLD,642,0
761,590,Spain,Female,29,2,166930.76,2,1,0,122487.73,0,3,SILVER,768,0
762,648,Spain,Female,27,7,0,2,1,1,163060.43,0,3,DIAMOND,983,0
763,605,Spain,Male,39,10,105317.73,2,1,0,138021.36,0,1,PLATINUM,798,0
764,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,1,1,PLATINUM,284,1
765,829,Spain,Female,26,8,101440.36,2,1,1,19324.5,0,5,DIAMOND,596,0
766,649,Spain,Male,29,2,45022.23,1,1,1,173495.77,0,4,PLATINUM,595,0
767,784,Spain,Male,48,7,0,2,1,1,182609.97,0,1,DIAMOND,354,0
768,783,Spain,Female,37,1,136689.66,1,1,0,197890.65,0,1,GOLD,412,0
769,540,Spain,Male,67,1,88382.01,1,0,1,59457,0,4,GOLD,409,0
770,680,Spain,Female,58,8,0,2,1,1,65708.5,0,5,GOLD,743,0
771,506,Spain,Male,35,6,110046.93,2,1,0,26318.73,0,1,GOLD,606,0
772,674,Spain,Male,32,2,0,2,1,0,140579.17,0,1,DIAMOND,787,0
773,527,Spain,Female,36,6,0,2,1,1,102280.29,0,5,DIAMOND,823,0
774,468,Spain,Male,28,3,0,2,1,0,170661.02,0,2,GOLD,306,0
775,734,Spain,Female,43,3,55853.33,2,0,1,94811.85,1,1,PLATINUM,263,1
776,627,Spain,Male,41,5,100880.76,1,0,1,134665.25,0,4,GOLD,395,0
777,696,Spain,Male,60,8,88786.81,1,1,1,196858.4,0,1,PLATINUM,628,0
778,597,Spain,Female,30,2,119370.11,1,1,1,182726.22,1,4,SILVER,851,1
779,560,Spain,Female,28,1,0,2,1,1,120880.72,0,3,SILVER,451,0
780,721,Spain,Male,43,3,88798.34,1,0,0,45610.63,0,2,GOLD,592,0
781,590,Spain,Female,23,7,0,2,1,0,196789.9,0,1,SILVER,469,0
782,736,Spain,Female,26,4,135889.13,1,1,1,165692.03,0,4,PLATINUM,253,0
783,832,Spain,Female,34,6,138190.13,2,0,1,146511.2,0,2,PLATINUM,424,0
784,795,Spain,Female,56,5,0,1,1,0,35418.69,1,5,PLATINUM,675,1
785,653,Spain,Male,30,4,0,2,1,0,120736.04,0,5,DIAMOND,739,0
786,648,Spain,Male,55,1,81370.07,1,0,1,181534.04,0,4,PLATINUM,564,0
787,752,Spain,Male,44,6,83870.33,1,1,0,178722.24,0,3,SILVER,238,0
788,643,Spain,Female,34,8,117451.47,1,1,0,65374.86,0,2,DIAMOND,531,0
789,641,Spain,Male,32,7,0,2,1,1,24267.28,0,4,GOLD,652,0
790,574,Spain,Male,34,5,0,2,0,0,28269.86,0,5,DIAMOND,626,0
791,470,Spain,Male,34,9,0,2,0,1,89013.67,0,4,DIAMOND,568,0
792,608,Spain,Male,34,7,86656.13,1,0,1,59890.29,0,1,SILVER,252,0
793,677,Spain,Male,40,5,0,2,1,0,88947.56,0,4,GOLD,314,0
794,577,Spain,Male,43,6,0,2,1,1,149457.81,0,3,DIAMOND,446,0
795,575,Spain,Female,37,9,133292.45,1,1,0,111175.09,0,2,PLATINUM,506,0
796,516,Spain,Female,45,8,109044.3,1,0,1,115818.16,0,5,GOLD,229,0
797,554,Spain,Male,66,8,0,2,1,1,116747.62,0,1,PLATINUM,259,0
798,599,Spain,Male,36,4,0,2,0,0,13210.56,0,3,DIAMOND,928,0
799,635,Spain,Male,24,4,140197.18,1,1,1,142935.83,0,4,SILVER,907,0
800,667,Spain,Male,56,2,168883.08,1,0,1,18897.78,0,2,PLATINUM,321,0
801,606,Spain,Female,53,1,109330.06,1,1,1,75860.01,0,5,DIAMOND,582,0
802,827,Spain,Male,46,1,183276.32,1,1,1,13460.27,0,4,DIAMOND,511,0
803,598,Spain,Female,56,4,98365.33,1,1,1,44251.33,0,5,DIAMOND,850,0
804,555,Spain,Female,24,2,0,2,0,1,197866.55,0,4,GOLD,347,0
805,776,Spain,Male,39,2,104349.45,1,0,0,79503.05,0,2,DIAMOND,995,0
806,595,Spain,Male,36,6,85768.42,1,1,1,24802.77,0,5,DIAMOND,301,0
807,684,Spain,Male,34,9,100628,2,1,1,190263.78,0,2,PLATINUM,451,0
808,673,Spain,Female,32,0,0,1,1,1,72873.33,0,4,GOLD,726,0
809,802,Spain,Male,38,7,0,2,0,1,57764.65,0,5,GOLD,476,0
810,762,Spain,Female,19,6,0,2,1,0,55500.17,0,1,DIAMOND,931,0
811,791,Spain,Male,25,7,0,1,1,0,89666.28,0,5,PLATINUM,740,0
812,735,Spain,Male,38,7,86131.71,2,0,0,93478.96,0,5,PLATINUM,692,0
813,688,Spain,Female,33,2,0,1,0,0,27557.18,1,1,DIAMOND,878,1
814,537,Spain,Male,30,1,103138.17,1,1,1,96555.42,0,4,SILVER,498,0
815,584,Spain,Male,32,9,85534.83,1,0,0,169137.24,0,5,PLATINUM,226,0
816,560,Spain,Female,43,4,95140.44,2,1,0,123181.44,1,5,DIAMOND,615,1
817,652,Spain,Male,37,7,0,2,1,0,68789.93,0,4,GOLD,932,0
818,773,Spain,Female,23,8,0,2,1,0,56759.79,0,5,DIAMOND,359,0
819,754,Spain,Female,19,9,0,1,1,0,189641.11,0,3,SILVER,933,0
820,592,Spain,Female,41,2,138734.94,1,1,0,90020.74,0,1,PLATINUM,308,0
821,593,Spain,Male,35,4,161637.75,1,1,1,20008.46,0,1,GOLD,391,0
822,506,Spain,Male,50,3,0,2,1,0,12016.79,0,3,DIAMOND,295,0
823,513,Spain,Male,72,3,98903.06,1,1,1,81251.24,0,5,DIAMOND,842,0
824,608,Spain,Female,63,3,139529.93,2,1,1,175696.16,1,2,GOLD,961,1
825,487,Spain,Female,31,1,0,2,1,0,158750.13,0,3,SILVER,546,0
826,808,Spain,Male,47,8,139196,1,0,1,74028.36,0,2,SILVER,801,0
827,802,Spain,Male,40,5,0,2,1,1,175043.69,0,4,GOLD,332,0
828,581,Spain,Female,31,6,0,2,1,0,188377.21,0,1,SILVER,644,0
829,690,Spain,Male,36,10,0,2,1,0,55902.93,0,2,GOLD,876,0
830,579,Spain,Male,56,4,99340.83,1,0,0,4523.74,1,1,DIAMOND,806,1
831,688,Spain,Female,24,3,0,2,1,1,102195.16,0,5,DIAMOND,739,0
832,599,Spain,Female,28,4,126833.79,2,1,0,60843.09,1,5,PLATINUM,252,1
833,670,Spain,Male,35,2,124268.64,2,0,1,84321.03,0,4,DIAMOND,301,0
834,739,Spain,Male,60,4,0,1,1,1,51637.67,0,1,DIAMOND,457,0
835,671,Spain,Female,34,5,130929.02,4,1,1,28238.25,1,1,PLATINUM,586,1
836,698,Spain,Female,47,6,0,1,1,0,50213.81,1,4,PLATINUM,625,1
837,735,Spain,Male,55,2,103176.62,1,0,1,163516.16,0,2,PLATINUM,708,0
838,803,Spain,Female,45,7,0,2,1,1,128378.04,0,1,PLATINUM,589,0
839,604,Spain,Female,26,3,0,2,1,0,155248.62,0,4,SILVER,679,0
840,766,Spain,Male,41,6,99208.46,2,1,0,62402.38,0,4,GOLD,224,0
841,420,Spain,Female,55,4,91893.32,1,1,0,144870.28,1,3,GOLD,970,1
842,632,Spain,Female,29,7,80922.75,1,1,0,7820.78,0,2,SILVER,434,0
843,578,Spain,Male,40,6,63609.92,1,0,0,74965.61,1,5,SILVER,783,1
844,493,Spain,Male,32,8,46161.18,1,1,1,79577.4,0,2,GOLD,606,0
845,688,Spain,Male,42,5,0,2,0,0,197602.29,0,4,SILVER,378,0
846,581,Spain,Male,49,10,0,2,0,0,41623.59,0,1,GOLD,242,0
847,597,Spain,Female,46,4,0,2,1,0,58667.16,1,5,SILVER,666,1
848,436,Spain,Male,43,5,0,2,1,1,35687.43,0,5,DIAMOND,557,0
849,560,Spain,Female,31,5,125341.69,1,1,0,79547.39,0,4,PLATINUM,797,0
850,657,Spain,Male,36,8,188241.05,2,0,0,183058.51,1,3,DIAMOND,382,1
851,781,Spain,Male,35,4,80790.74,1,1,0,116429.51,0,2,SILVER,456,0
852,697,Spain,Female,37,7,168066.87,1,1,0,35450.53,0,2,GOLD,231,0
853,679,Spain,Female,26,3,76554.06,1,1,1,184800.27,0,5,GOLD,795,0
854,720,Spain,Male,33,6,97188.62,1,0,0,91881.29,0,4,SILVER,605,0
855,746,Spain,Male,30,1,112666.67,1,0,0,11710.4,1,1,DIAMOND,585,1
856,623,Spain,Female,40,7,0,1,1,1,25904.12,0,5,SILVER,253,0
857,729,Spain,Female,34,9,53299.96,2,1,1,42855.97,0,3,PLATINUM,929,0
858,543,Spain,Male,37,3,0,2,1,1,78915.68,0,2,PLATINUM,701,0
859,499,Spain,Male,39,6,0,2,1,1,81409,0,3,GOLD,351,0
860,614,Spain,Female,25,10,75212.28,1,1,0,58965.04,0,5,PLATINUM,386,0
861,587,Spain,Female,35,3,83286.56,1,1,0,125553.52,0,5,DIAMOND,620,0
862,593,Spain,Male,43,10,0,2,0,0,53478.02,0,2,SILVER,602,0
863,632,Spain,Male,47,3,0,2,1,0,178822.32,0,3,DIAMOND,980,0
864,445,Spain,Male,45,10,0,2,0,1,90977.48,0,1,SILVER,797,0
865,806,Spain,Male,18,3,0,2,1,1,86994.54,0,2,GOLD,768,0
866,643,Spain,Female,32,2,0,1,0,0,131301.74,0,2,SILVER,691,0
867,584,Spain,Female,37,8,0,2,0,1,100835.19,0,2,SILVER,937,0
868,771,Spain,Male,18,1,0,2,0,0,41542.95,0,1,GOLD,371,0
869,661,Spain,Female,41,5,28082.95,1,1,0,69586.27,1,1,PLATINUM,605,1
870,627,Spain,Male,49,4,111087.5,1,0,1,146680.25,0,5,SILVER,900,0
871,453,Spain,Female,42,5,0,3,1,0,83008.49,1,1,GOLD,791,1
872,662,Spain,Male,37,5,94901.09,1,1,1,48233.75,0,1,DIAMOND,579,0
873,838,Spain,Female,67,4,103267.8,1,1,1,78310.04,0,5,GOLD,241,0
874,692,Spain,Female,34,4,109699.08,1,1,1,37898.91,0,2,SILVER,489,0
875,731,Spain,Male,33,1,0,1,1,0,130726.96,0,1,GOLD,462,0
876,542,Spain,Male,43,6,113567.94,1,1,0,89543.25,0,5,SILVER,237,0
877,662,Spain,Female,35,6,0,2,0,0,2423.9,1,4,DIAMOND,730,1
878,741,Spain,Male,40,4,104784.23,1,1,0,135163.76,1,5,DIAMOND,417,1
879,658,Spain,Male,36,1,0,2,0,1,84927.42,0,1,SILVER,374,0
880,491,Spain,Female,61,8,0,2,0,1,139861.53,0,4,PLATINUM,973,0
881,676,Spain,Female,30,5,0,2,0,1,157888.5,0,4,SILVER,608,0
882,746,Spain,Female,25,3,104833.79,1,0,0,71911.3,0,2,PLATINUM,367,0
883,470,Spain,Female,31,2,101675.22,2,1,0,45033.75,0,1,SILVER,788,0
884,714,Spain,Male,20,3,0,2,0,1,150465.93,0,1,PLATINUM,245,0
885,577,Spain,Male,43,8,79757.21,1,1,0,135650.72,1,3,SILVER,270,1
886,489,Spain,Male,40,3,221532.8,1,1,0,171867.08,0,5,DIAMOND,636,0
887,677,Spain,Male,56,5,123959.97,1,1,1,60590.72,1,1,DIAMOND,809,1
888,667,Spain,Male,77,2,0,1,1,1,34702.92,0,4,DIAMOND,965,0
889,635,Spain,Female,37,3,0,2,1,0,91086.73,0,2,PLATINUM,413,0
890,592,Spain,Male,55,8,85845.43,2,1,1,128918.42,0,2,PLATINUM,564,0
891,470,Spain,Male,31,4,55732.92,2,1,1,103792.53,0,5,GOLD,397,0
892,604,Spain,Female,39,7,98544.11,1,1,1,52327.57,0,2,PLATINUM,668,0
893,739,Spain,Male,19,5,89750.21,1,1,0,193008.52,0,3,PLATINUM,585,0
894,560,Spain,Female,26,3,116576.45,1,1,0,157567.37,0,4,PLATINUM,440,0
895,663,Spain,Male,31,4,103430.11,2,0,1,36479.27,0,4,GOLD,992,0
896,845,Spain,Female,52,0,0,1,1,0,31726.76,1,4,DIAMOND,408,1
897,555,Spain,Male,27,5,0,2,0,0,96398.51,0,3,GOLD,506,0
898,640,Spain,Male,62,3,0,1,1,1,101663.47,0,3,GOLD,395,0
899,494,Spain,Male,27,2,0,2,1,0,22404.64,0,2,DIAMOND,488,0
900,701,Spain,Female,21,9,0,2,1,1,26327.42,0,3,PLATINUM,434,0
901,631,Spain,Male,33,2,0,2,1,1,158268.84,0,1,SILVER,246,0
902,650,Spain,Male,25,7,160599.06,2,1,1,28391.52,0,3,DIAMOND,268,0
903,850,Spain,Male,22,3,0,1,1,1,144385.54,0,4,PLATINUM,495,0
904,620,Spain,Male,44,8,0,2,1,1,15627.51,0,5,DIAMOND,940,0
905,695,Spain,Female,39,5,0,2,0,0,102763.69,0,3,DIAMOND,320,0
906,670,Spain,Male,67,6,158719.57,1,1,1,118607.4,0,3,SILVER,392,0
907,613,Spain,Male,35,4,123557.65,2,0,1,170903.4,0,3,SILVER,438,0
908,629,Spain,Female,44,6,125512.98,2,0,0,79082.76,0,5,PLATINUM,690,0
909,652,Spain,Female,42,3,83492.07,2,1,0,37914.12,0,1,PLATINUM,343,0
910,639,Spain,Female,39,1,141789.15,1,1,0,92455.96,0,3,PLATINUM,422,0
911,675,Spain,Male,66,5,115654.47,2,1,1,131970.86,0,2,GOLD,785,0
912,730,Spain,Male,29,2,0,2,1,0,14174.09,0,4,GOLD,523,0
913,683,Spain,Male,38,3,126152.84,1,0,0,15378.75,0,4,PLATINUM,611,0
914,663,Spain,Male,27,8,0,1,1,1,188007.99,0,1,GOLD,299,0
915,496,Spain,Male,29,2,0,2,1,0,55389.59,0,1,DIAMOND,382,0
916,717,Spain,Female,36,2,164557.95,1,0,1,82336.73,0,2,GOLD,321,0
917,535,Spain,Male,35,8,118989.92,1,1,1,135536.72,0,5,DIAMOND,895,0
918,593,Spain,Female,45,6,79259.75,1,1,0,55347.28,0,2,GOLD,255,0
919,835,Spain,Male,38,7,86824.09,1,0,0,175905.97,0,2,GOLD,348,0
920,584,Spain,Male,36,4,82696.09,2,0,0,83058.14,0,5,PLATINUM,925,0
921,599,Spain,Male,34,2,101506.66,1,0,0,198030.24,0,3,PLATINUM,447,0
922,745,Spain,Male,34,7,132944.53,1,1,1,31802.92,0,1,PLATINUM,720,0
923,579,Spain,Female,59,3,148021.12,1,1,1,74878.22,0,2,SILVER,360,0
924,647,Spain,Female,26,8,109958.15,1,1,1,136592.24,1,2,GOLD,271,1
925,609,Spain,Female,45,4,89122.3,1,1,1,199256.98,0,3,DIAMOND,573,0
926,596,Spain,Female,54,0,78126.28,1,1,1,153482.91,1,2,PLATINUM,479,1
927,700,Spain,Female,43,0,0,2,1,0,59475.35,0,4,SILVER,997,0
928,458,Spain,Female,35,5,166492.48,1,1,0,135287.74,0,3,SILVER,603,0
929,699,Spain,Male,31,6,114493.68,1,0,0,138396.32,0,4,DIAMOND,351,0
930,668,Spain,Male,34,0,0,1,0,0,99984.86,0,1,GOLD,865,0
931,594,Spain,Female,38,10,0,2,1,0,58332.91,0,3,PLATINUM,827,0
932,664,Spain,Male,35,1,115024.5,1,0,1,169665.79,0,2,DIAMOND,678,0
933,703,Spain,Male,73,5,137761.55,1,1,1,159677.46,0,5,GOLD,416,0
934,608,Spain,Female,56,5,0,2,0,1,153810.41,0,1,DIAMOND,921,0
935,548,Spain,Male,44,8,0,1,1,0,16989.77,0,1,SILVER,693,0
936,555,Spain,Female,35,1,0,2,1,0,101667,0,4,SILVER,417,0
937,734,Spain,Female,39,6,92126.26,2,0,0,112973.34,0,5,SILVER,872,0
938,645,Spain,Female,49,5,110132.55,3,0,1,187689.91,1,3,GOLD,390,1
939,598,Spain,Female,23,6,0,2,1,0,153229.19,0,2,GOLD,737,0
940,783,Spain,Male,38,1,0,3,1,1,80178.54,1,3,SILVER,534,1
941,646,Spain,Male,32,1,0,2,1,0,183289.22,0,3,DIAMOND,307,0
942,653,Spain,Female,36,3,0,2,0,0,110525.6,0,2,PLATINUM,504,0
943,570,Spain,Male,21,7,116099.82,1,1,1,148087.62,0,5,DIAMOND,888,0
944,530,Spain,Male,37,4,0,2,1,1,164844.37,0,2,PLATINUM,885,0
945,704,Spain,Female,37,9,155619.58,1,1,1,135088.58,0,5,GOLD,788,0
946,645,Spain,Male,45,4,0,1,0,1,174916.85,1,5,PLATINUM,668,1
947,595,Spain,Male,37,2,157084.99,1,1,0,134767.13,0,5,GOLD,974,0
948,575,Spain,Male,30,2,0,2,1,1,82222.86,0,1,PLATINUM,934,0
949,591,Spain,Female,40,1,86376.29,1,0,1,136767.16,1,4,SILVER,356,1
950,643,Spain,Female,45,9,150840.03,2,1,0,155516.35,0,2,GOLD,812,0
951,655,Spain,Male,37,1,0,1,1,1,106040.97,0,5,GOLD,226,0
952,581,Spain,Male,46,2,79385.21,2,0,0,188492.82,0,1,GOLD,639,0
953,539,Spain,Male,36,6,0,3,1,1,118959.64,0,3,PLATINUM,841,0
954,763,Spain,Female,39,7,0,2,1,0,19458.75,0,2,PLATINUM,311,0
